t,A,B,C
-0.0242,-0.297041581577036,-0.678416162135138,0.975457743712174
-0.0241,-0.332819544522989,-0.650243987350028,0.983063531873016
-0.024,-0.368124552684676,-0.621147780278312,0.989272332962988
-0.0239,-0.402906435713662,-0.591168888222343,0.994075323936005
-0.0238,-0.437115766650933,-0.560349912828145,0.997465679479078
-0.0237,-0.470703932165334,-0.528734649546131,0.999438581711464
-0.0236,-0.503623201635763,-0.496368025395375,0.999991227031138
-0.0235,-0.535826794978996,-0.463296035119863,0.999122830098858
-0.0234,-0.567268949126757,-0.429565675827429,0.996834624954185
-0.0233,-0.59790498305752,-0.395224880204316,0.993129863261835
-0.0232,-0.627691361290701,-0.360322448400195,0.988013809690895
-0.0231,-0.656585755752958,-0.324907978680475,0.981493734433432
-0.023,-0.684547105928687,-0.289031796944474,0.973578902873161
-0.0229,-0.711535677209285,-0.252744885209531,0.964280562418815
-0.0228,-0.737513117358174,-0.216098809162802,0.953611926520976
-0.0227,-0.762442511011449,-0.179145644883582,0.941588155895029
-0.0226,-0.786288432136621,-0.141937904840342,0.928226336976962
-0.0225,-0.809016994374947,-0.104528463267656,0.913545457642601
-0.0224,-0.830595899195812,-0.0669704810289858,0.897566380224797
-0.0223,-0.850994481794692,-0.029317330072228,0.880311811866919
-0.0222,-0.870183754669527,0.00837748241477211,0.861806272254754
-0.0221,-0.888136448813544,0.0460603900408496,0.842076058772693
-0.022,-0.904827052466019,0.0836778433323141,0.821149209133704
-0.0219,-0.92023184736587,0.12117638582965,0.799055461536219
-0.0218,-0.934328942456613,0.158502730052094,0.775826212404518
-0.0217,-0.947098304994745,0.19560383322205,0.751494471772694
-0.0216,-0.958521789017376,0.232426972641782,0.726094816375592
-0.0215,-0.968583161128631,0.268919820615263,0.699663340513366
-0.0214,-0.977268123568193,0.305030518808676,0.672237604759516
-0.0213,-0.984564334529205,0.340707751943952,0.643856582585253
-0.0212,-0.990461425696652,0.375900820720588,0.614560604976062
-0.0211,-0.9949510169813,0.410559713862125,0.584391303119173
-0.021,-0.998026728428271,0.444635179184926,0.553391549243344
-0.0209,-0.9996841892833,0.478078793588192,0.521605395695107
-0.0208,-0.999921044203816,0.51084303186586,0.489078012337955
-0.0207,-0.998736956606017,0.542881334242519,0.455855622363497
-0.0206,-0.996133609143173,0.574148172537388,0.421985436605784
-0.0205,-0.992114701314478,0.604599114862374,0.387515586452103
